id tweet,author,palabra
1567131449987309568,@traselvalle_obc,#estadoalarma
1567122227140730880,@aleidacr84,código
1567120079023738884,@traselvalle_obc,por
1567199680810942469,@diaz_yanexy,código
1567178609982414848,@marialfv,por
1567257802489331714,@cforerin,@americadecali
1567139258556731393,@lapoderosaec,#felizmartes
1567143585421660163,@trendtipsnet,https://t.co/lek5x7utbk
1567108707598667782,@johebl,rt
1567148962229927936,@jr2d26212,@nmassonora
1567135533695893505,@traselvalle_obc,y
1567181637946933253,@providenciatv,a
1567212822769160197,@traselvalle_obc,en
1567378338334871555,@miguela43034313,vote
1567192679913496579,@lcmahon,pueblo
1567221940615581702,@jos89409082,resultó
1567110500760141824,@libreycallejero,🙌
1567265149110697987,@paky24728041,como
1567104354443829248,@pariasdlatierra,hará
1567140819211018240,@iicompay,un
1567160532662161409,@128xromero,qué
1567139785377980416,@cdivt2,de
1567144664410591232,@go91fenix,plan
1567335800815210498,@delcarm96792349,rt
1567471006423425025,@alebalboa86,la
1567158402488406016,@openbeauchef,invitación
1567210233105088517,@vielitus,“el
1567161730840809474,@x58621223,buenos
1567199653719941120,@maricar35580046,y
1567175927817277441,@maga020566,estado…”
1567150391388667907,@fernand55916148,a
1567210939849605121,@mary_0677,soy
1567127124456226818,@ailaxy,miércoles
1567167975979118592,@mgarcia318,#felizmartes
1567278958772731908,@marcfan9393,https://t.co/pylnghkuel
1567175335988416514,@edgardo_froilan,recalcó
1567347878951096320,@lezamamalaret,el
1567162912648695808,@and_anaya14,que
1567216069990834180,@indersantander,cargadas
1567122057682468865,@bohemio1962,rt
1567116230770790401,@_zuly_mor_,vida
1567309010608558083,@luisramirez681,#vidapúrpura
1567144516238327808,@juliopazos,javier
1567281570188337155,@oscar151717,pasemos
1567191216592224260,@roxana190320,conseguimos
1567151657372291073,@p_pila1,@soulnav1
1567207153491910657,@isa_carriles,para
1567211442004279297,@traselvalle_obc,y
1567170931419742208,@loronorafael,aprender...
1567120946581864449,@traselvalle_obc,rt
1567125829229989890,@ariisgabrielle,davide
1567399913578692609,@betoripo,fascista
1567218861979607042,@maymeneses78,😜😝
1567264952754356228,@albertromario,que
1567194237472591881,@isaias191799,lo
1567134988453150722,@yudelispalma,de
1567130945572028416,@coyoalou,@gobiernomx
1567099314052235264,@pepepousa,birmania
1567343238683541504,@amasalex78,de
1567130119352848387,@miguelcarmonaes,antonio
1567163937195532291,@miguelsalvo6,"mártir,"
1567174735955386371,@cynthiaroxana27,#felizmartes
1567156260008517633,@aoifearias,🌸🫶
1567278256105078786,@dark_nigthh,el
1567355072618659841,@haemiliano,la
1567118435120734211,@maladiaynoche,que
1567188185825820673,@elhoroscopodel1,"siempre,"
1567329577332006917,@angelad19861181,es
1567115568121090049,@maguva1,no
1567192462195658752,@patria28158,servicios
1567413473889370113,@zolangegonzalez,@dguirilandia:
1567194479953694721,@busguarico,el
1567243736693760003,@kalrhsin,o
1567175927817277441,@maga020566,pérez
1567192593678704642,@ismvalsyr,constitución
1567439116521902080,@jjaranaz94,#felizsemana
1567189157935546371,@gonzalezortega2,birmania
1567326512667312130,@johan9308c,@herreraj2311
1567134817610862593,@eliany62810342,tú?
1567197699945992193,@ponzzerage,monarquía
1567436959387107335,@manalcar,legitimidad
1567122270350352384,@vialidadxalapa,@fherciencias:
1567257404592586753,@enriqueso931,#felizmartes
1567234445408718849,@tesoromoctezuma,walmart!#síguemeytesigoya
1567212295863902208,@traselvalle_obc,la
1567211007285551111,@traselvalle_obc,"@traselvalle_obc,"
1567238384682139650,@ismvalsyr,pueblo
1567112926871359492,@sun_tzu22,república!
1567315421144940545,@joselopezmares,me
1567274054150766592,@casimadelaine,¿y
1567139200507445251,@jjaranaz94,de
1567171381980192770,@earthquakehds,r
1567160226498990081,@rafagijon69,un
1567114286652178432,@freddyp44055243,vídeo
1567125829229989890,@ariisgabrielle,android
1567123149728223232,@rafaelwildvet,#macarena
1567211658438656000,@traselvalle_obc,respecto
1567347285465485312,@alendro_c,miedo
1567186445013553152,@eloipizarro,decir
1567133998702272520,@lizbethclavel23,acapulco.
1567277443353903104,@corona_tweet,últimos
1567299524183429120,@cailolocai,para
1567136259432189952,@domingo110375,#felizmartes
1567349973070614530,@selvinf78069837,un
1567218989943726085,@adolfo28290694,las
1567146681036161025,@islasfer,#prosperidad
1567120581706801153,@_colosalred_,rt
